year,field,multiaffsize,multiaffshare,foreignaffshare
2006,Immunology,109610,10.906851564638263,23.00292764533668
1999,Immunology,72154,9.971727139174543,26.448922863099373
2002,Immunology,88360,12.391353553644183,34.2497031692392
2001,Immunology,84772,10.561270230736564,33.2179157824193
2016,Immunology,196833,14.59460557934899,20.203989278379225
2017,Mathematics,129913,10.199903012015733,35.97464342313788
2014,Mathematics,111251,9.614295601837288,35.46185489902767
2011,Mathematics,91265,8.65720703446009,35.99544361473232
1996,Mathematics,34364,7.077173786520778,49.91776315789473
2016,Mathematics,119561,10.158831056950008,37.13156594763708
2012,Mathematics,99656,8.96885285381713,36.730812262251064
1997,Mathematics,35325,7.665958952583156,49.741506646971935
2013,Mathematics,104583,9.204172762303624,37.00394764180345
2018,Mathematics,139666,9.983102544642218,37.18711898443664
2015,Mathematics,114202,9.8229453074377,36.174006061686576
2010,Mathematics,85222,8.618666541503368,35.75221238938053
1998,Mathematics,35696,7.2697220977140296,50.481695568400774
2009,Mathematics,83862,8.394743745677422,35.86647727272727
2002,Mathematics,44557,5.862154094755033,46.324655436447166
2003,Mathematics,48059,6.564847375101437,45.32488114104596
1999,Mathematics,37353,6.824083741600406,50.64731267163594
2007,Mathematics,72318,7.59285378467325,37.86195592788199
2005,Mathematics,56373,7.555035211892218,39.14064334350786
2001,Mathematics,41436,6.286803745535282,48.52207293666027
2004,Mathematics,51291,7.005127605232888,40.32841636515447
2000,Mathematics,39861,6.680715486314945,47.953435974464895
2006,Mathematics,63564,7.696180227801901,38.14390842191333
2019,Mathematics,155086,10.07312072011658,35.0275252848547
2008,Mathematics,78288,7.888820764357245,36.44753886010363
2012,Medicine,1096145,13.015613810216713,17.49632017943506
2004,Medicine,626157,10.219002582419426,16.890930970353352
2005,Medicine,674275,10.73968336361277,16.373679486294275
2006,Medicine,724635,10.820620036294134,16.12676954470093
1999,Medicine,467735,9.630239344928219,19.674096439037385
1998,Medicine,468461,8.855379636725361,17.353678526660882
2015,Medicine,1322798,13.813068964422385,17.009178027462934
2018,Medicine,1518311,14.420958551969921,16.594277362928455
2003,Medicine,578361,10.166660615082968,18.110544217687075
1997,Medicine,463597,9.002215286121352,19.02285905975943
1996,Medicine,443201,8.798716609393932,17.93517283823982
2019,Medicine,1642293,14.476344964022864,16.00461000067299
2016,Medicine,1369538,13.968506167773365,16.85380337055158
2002,Medicine,567570,10.493507408777772,23.944726149299843
2001,Medicine,542214,10.099886760577927,22.863977503058635
2017,Medicine,1423993,14.199929353585306,16.91641197590576
2000,Medicine,517859,10.105453414925684,20.69861652526179
2014,Medicine,1274009,13.321962403719285,16.928171196596807
